Marca,Modelo,Ano,Kilometraje,Condicion,Combustible,Color,Transmision,price,location,Comuna,Tipo_de_vendedor,Category
Subaru,Impreza,2018,62000,Usado,Bencina,Blanco,Automática,12990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Subaru,Forester,2021,31000,Usado,Bencina,Verde,Automática,21500000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Onix,2019,128000,Usado,Bencina,Negro,Manual,7100000,Metropolitana de Santiago,Santiago,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Tracker,2024,40300,Usado,Bencina,Blanco,Automática,11490000,Araucanía,PADRE LAS CASAS,Vendedor de autos.,"Autos, Camionetas y 4x4"
Hummer,H2t,2006,119870,Usado,Bencina,Azul,Automática,32990000,Metropolitana de Santiago,La Florida,Vendedor de autos.,"Autos, camionetas y 4x4"
Subaru,Xv,2020,129826,Usado,Bencina,AZUL,Automática,13900000,Metropolitana de Santiago,Providencia,Vendedor de autos.,"Autos, Camionetas y 4x4"
Chevrolet,N400 Max,2024,19000,Usado,Bencina,Blanco,Manual,9800000,Ñuble,Chillán,Vendedor de autos.,"Autos, camionetas y 4x4"
Subaru,Forester,2022,86738,Usado,Bencina,PLATEADO,Automática,22790000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, Camionetas y 4x4"
Subaru,Crosstrek,2024,13628,Usado,Bencina,Blanco,Automática,21380000,Metropolitana de Santiago,Nuñoa,Vendedor de autos.,SUV
Ram,1500,2020,145042,Usado,Bencina,Blanco,Automática,31990000,Araucanía,Temuco,Vendedor de autos.,"Autos, camionetas y 4x4"
Nissan,Armada,2010,100000,Usado,Bencina,Beige,Automática,10300000,Los Lagos,Llanquihue,Vendedor de autos.,"Autos, camionetas y 4x4"
Chevrolet,Onix,2025,10,Usado,Bencina,Blanco Blanco,Manual,11490000,Bío Bío,Concepción,Vendedor de autos.,"Autos, camionetas y 4x4"
Opel,Corsa,2022,17000,Usado,Bencina,Rojo,Automática,12300000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Volkswagen,Atlas,2024,52000,Usado,Bencina,GRIS,Automática,30990000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,"Autos, Camionetas y 4x4"
Daihatsu,Cuore,2001,157967,Usado,Bencina,Azul,Manual,1800000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, Camionetas y 4x4"
Nissan,Versa,2023,43424,Usado,Bencina,Plata Plata,Automática,11090000,Los Ríos,Valdivia,Vendedor de autos.,"Autos, camionetas y 4x4"
Suzuki,Grand Vitara,2005,25000,Usado,Bencina,Blanco,Manual,6500000,Maule,Linares,Vendedor de autos.,"Autos, camionetas y 4x4"
Kia,Rio 5,2019,37000,Usado,Bencina,Blanco,Manual,12100000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Gwm,Haval Jolion,2025,18000,Usado,Bencina,Rojo,Manual,11990000,Coquimbo,Coquimbo - Ovalle,Vendedor de autos.,"Autos, Camionetas y 4x4"
Peugeot,308,2020,37000,Usado,Diesel,Gris,Manual,15450000,Metropolitana de Santiago,Macul,Vendedor de autos.,"Autos, camionetas y 4x4"
Jeep,Commander,2007,168000,Usado,Bencina,Gris,Automática,8000000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,3,2021,56230,Usado,Bencina,Azul,Automática,7290000,Metropolitana de Santiago,Lo Barnechea,Vendedor de autos.,"Autos, Camionetas y 4x4"
BMW,Serie 4,2020,56149,Usado,Bencina,Negro,Automática,25000000,Metropolitana de Santiago,San Joaquín,Vendedor de autos.,"Autos, camionetas y 4x4"
MG,Zx,2022,52000,Usado,Bencina,Negro,Automática,8000000,Metropolitana de Santiago,Quinta Normal,Vendedor de autos.,"Autos, camionetas y 4x4"
Mazda,Bt-50,2021,83000,Usado,Diesel,Azul,Automática,21750000,Araucanía,Villarrica,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,3008,2016,165000,Usado,Diesel,Negro,Manual,7900000,Metropolitana de Santiago,Maipú,Vendedor de autos.,"Autos, camionetas y 4x4"
Peugeot,208,2018,110000,Usado,Diesel,Blanco,Manual,7100000,Coquimbo,Los vilos,Vendedor de autos.,"Autos, camionetas y 4x4"
Mazda,Cx-5,2014,188000,Usado,Bencina,Gris,Automática,9190000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,"Autos, camionetas y 4x4"
Toyota,Rav4,2017,188000,Usado,Bencina,Gris,Automática,10950000,Valparaíso,Viña del Mar,Vendedor de autos.,"Autos, Camionetas y 4x4"
Suzuki,Grand Nomade,2007,150700,Usado,Bencina,Gris,Manual,4800000,Metropolitana de Santiago,Ñuñoa,Vendedor de autos.,Autos-vehículo
Subaru,Outback,2024,10000,Usado,Bencina,Verde,Automática,33990000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Mazda,Cx-9,2018,98000,Usado,Bencina,Blanco,Automática,20980000,Metropolitana de Santiago,Las Condes,Vendedor de autos.,Autos-vehículo
Foton,Midi Doble Cabina,2018,108000,Usado,Bencina,Blanco,Manual,5000000,Bío Bío,Mulchén,Vendedor de autos.,Autos-vehículo
Foton,Midi,2017,133224,Usado,Bencina,Blanco,Manual,5000000,Metropolitana de Santiago,Maipú,Vendedor de autos.,Autos-vehículo
Chery,Tiggo 8,2021,112300,Usado,Bencina,Gris,Automática,11100000,Metropolitana de Santiago,Isla de Maipo,Vendedor de autos.,Autos-vehículo
Ram,700,2024,24947,Usado,Bencina,Blanco Blanco,Manual,11090000,Los Ríos,Valdivia,Vendedor de autos.,Autos-vehículo
Kia,Rio 4,2015,175500,Usado,Bencina,Gris,Manual,5800000,Metropolitana de Santiago,Pedro Aguirre Cerda,Vendedor de autos.,Autos-vehículo
Kia,Soul,2010,195000,Usado,Bencina,Negro,Manual,4300000,Valparaíso,Quilpué,Vendedor de autos.,Autos-vehículo
